"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3881.29539702267/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xe905b967fa7c1a7157cf60ddd311d07492ad8ed7161e52c2106e0b932d998f4b","23426012","1758633899","2025-09-23 13:24:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae","","0","0.146956992237778807","570.383497532787","0.000096413658","0.374209887005518","4165.70","","","Swap And Start Bridge Tokens Via Gas Zip"
"0x7269dde5146172461712fdcacf3d676418d759c4bb6efce3cbe5c6597b5770cd","23493632","1759450811","2025-10-03 00:20:11","0x5babe600b9fcd5fb7b66c0611bf4896d967b23a1","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.000404486236745215","0","1.56993056883822","0.000005008576251","0.0194397639486434","4516.00","","","Transfer"
"0xdef15e4df8b4308f936f3cb6c12f6af0d8dbc919e64061fbad54e744fafe2e5b","23493637","1759450871","2025-10-03 00:21:11","0x5babe600b9fcd5fb7b66c0611bf4896d967b23a1","0xad1a72534493d2adedb4b436d7722a320bfb5b45","","0.067223276329251904","0","260.913392989508","0.000005406184518","0.0209829990851686","4516.00","","","Transfer"
"0x95a89edc9df4d5647d0031a62c4c4ffda41375317d65274aa61a6eb8bc526c50","23493656","1759451111","2025-10-03 00:25:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0.0671","260.434921140221","0.00012046305493872","0.467552700644943","4516.00","","","Swap Exact Token For Yt"
"0x296019e43bba5d3b60fe8d5add863d422d3a29992d0e68ca5b1a90031b9cd638","23497338","1759495523","2025-10-03 12:45:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xd7c3fc198bd7a50b99629cfe302006e9224f087b","","0","0","0","0.000014035862905609","0.0544773300887815","4516.00","","","Approve"
"0x687264472b8bfb4201db832d7bf103f9f2b4b76afb187527cd48a0790c542cb9","23497340","1759495547","2025-10-03 12:45:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.000094294748546785","0.365985773498047","4516.00","","","Swap Exact Yt For Token"
"0xf13118c22f838f8f91a309b98898d1ac738e5e35491f02adb1b4e5fae02785e7","23497385","1759496099","2025-10-03 12:54:59","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xdcd0f5ab30856f28385f641580bbd85f88349124","","0","0","0","0.00001671771005541","0.0648863710868224","4516.00","","","Approve"
"0x60f0419c691957867bbffea9af86a43b564a9f10e6a81ef9ef6621f82fd498d3","23497443","1759496795","2025-10-03 13:06:35","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.00012376018413787","0.480349833028993","4516.00","Error(0)","execution reverted","Swap Exact Token For Yt"
"0x2a409fce410725094fce3db75462e1ba446974f28cc3be3a0b9db0f82023c7ea","23497462","1759497023","2025-10-03 13:10:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.000145528051808232","0.564837357620967","4516.00","","","Swap Exact Token For Yt"
"0x37e667a15652a3b901db7136ea7593e71c2dad5d3ccc16e990bef5efebfef5ef","23501051","1759540283","2025-10-04 01:11:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.00003113679827038","0.120851111804849","4489.84","","","Swap Exact Token For Yt"
"0x977a703bddfdba09524cd77c059a31a170e71bef599316468d1a6970b962701b","23507221","1759614803","2025-10-04 21:53:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0xd7c3fc198bd7a50b99629cfe302006e9224f087b","","0","0","0","0.00000579104693315","0.0224767638055773","4489.84","","","Approve"
"0x03d1eb2c1364f1bc5be3fcd248c6725d0d83cd37fd93e96ede0c78c21393a3fc","23507225","1759614851","2025-10-04 21:54:11","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.000034434812773504","0.133651680315139","4489.84","","","Swap Exact Yt For Token"
"0xa1ffc88f3a4d3421c760c285f5275b73889d5002fc6a9fda4b8d109eccd26283","23507228","1759614887","2025-10-04 21:54:47","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x8e5e017d6b3f567623b5d4a690a2a686bf7ba515","","0","0","0","0.000006223936938596","0.024156937791132","4489.84","","","Approve"
"0x0743905b7b47e1ac7f437f08ce56ed68179a513ef7ad3c5ce8057f968dbade1c","23507246","1759615103","2025-10-04 21:58:23","0xad1a72534493d2adedb4b436d7722a320bfb5b45","0x888888888889758f76e7103c6cbf23abbf58f946","","0","0","0","0.0000202378404921","0.0785490371476667","4489.84","","","Multicall"
